City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Namibe,AO,63.73,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
5,Santa Fe,AR,66.0,moderate rain,-31.6333,-60.7,Conquistador Hotel
13,Altay,CN,61.63,overcast clouds,47.8667,88.1167,Jinqiao Hotel
26,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
27,Prieska,ZA,60.24,clear sky,-29.6641,22.7474,Avenue GuestHouse
32,Geraldton,AU,60.93,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
39,Asmara,ER,61.95,broken clouds,15.3333,38.9333,Hamasien Hotel
41,Novaya Ladoga,RU,64.89,clear sky,60.1025,32.3019,База Отдыха Горизонт
46,Inhambane,MZ,64.38,few clouds,-23.865,35.3833,Oceano
56,Roald,NO,60.17,light intensity drizzle,62.5833,6.1333,Flem Cabins
65,Chapais,CA,71.38,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
68,Zaysan,KZ,65.53,broken clouds,47.4667,84.8667,Ерлан үй
69,Otavalo,EC,70.02,light rain,0.2333,-78.2667,Hostal Curiñan
84,Chivay,PE,60.42,scattered clouds,-15.6383,-71.6011,Casa Andina Standard Colca
88,Akhmeta,GE,70.32,scattered clouds,42.0311,45.2075,Hostel Kakheti
89,Cidreira,BR,70.36,overcast clouds,-30.1811,-50.2056,Hotel Castelo
91,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Le four à pain
92,Berlevag,NO,60.8,light rain,70.8578,29.0864,Kvitbrakka
93,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Hualmay,PE,66.45,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
103,Richards Bay,ZA,65.01,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
104,Karoi,ZW,61.32,overcast clouds,-16.8099,29.6925,Chikangwe Guest houses
107,Saint-Pierre,RE,64.29,clear sky,-21.3393,55.4781,Alize Plage
113,Tsiroanomandidy,MG,60.96,clear sky,-18.7667,46.0333,Hotel Ravinala
123,Azangaro,PE,61.11,few clouds,-14.9167,-70.2167,Hotel Miraflores Azangaro
125,Dharchula,IN,71.56,overcast clouds,29.85,80.5333,Mahara Hotel
127,Cap Malheureux,MU,67.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
128,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
129,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
130,Yambio,SS,68.72,moderate rain,4.5721,28.3955,Naivasha Hotel
132,Grand Gaube,MU,70.2,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
138,Omboue,GA,73.17,overcast clouds,-1.5746,9.2618,Hotel Olako
147,Faya,SA,69.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
148,Belyy Yar,RU,62.49,clear sky,53.6039,91.3903,Pasportnyy Stol
150,Sumbe,AO,68.52,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
152,Kotido,UG,70.9,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
160,Santiago De Cao,PE,62.73,fog,-7.9589,-79.2392,Casa de la tía
169,Borgarnes,IS,60.8,broken clouds,64.5383,-21.9206,Hotel Hafnarfjall
172,Quimper,FR,70.38,clear sky,48.0,-4.1,Hôtel Oceania Quimper
173,Malacacheta,BR,72.88,broken clouds,-17.8422,-42.0767,Pousada Varanda do Sol
174,Narsaq,GL,68.22,clear sky,60.9167,-46.05,Sleep In Narsaq
175,Antalaha,MG,67.32,light rain,-14.9003,50.2788,Hotel Vitasoa
176,Dvinskoy,RU,68.68,broken clouds,62.1535,45.1175,Gostinitsa Dvinskaya
181,De Panne,BE,71.19,few clouds,51.0792,2.5917,Hotel aan Zee
182,Havre-Saint-Pierre,CA,73.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
183,Diego De Almagro,CL,67.62,broken clouds,-26.3667,-70.05,hotel luna del desierto
185,Bembereke,BJ,74.37,light rain,10.2283,2.6634,Hotel Bio Guera
190,Sao Sebastiao,BR,74.7,clear sky,-23.76,-45.4097,Hotel Recanto dos Pássaros
191,Birin,NP,65.26,overcast clouds,26.8865,88.0718,Sun Hotel & Lodge
193,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
195,Kishtwar,IN,68.29,overcast clouds,33.3167,75.7667,Heritage Bagh by Himalayan Musk
196,Ambilobe,MG,67.84,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
198,Carnarvon,AU,64.56,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
200,Lagoa,PT,72.88,broken clouds,39.05,-27.9833,Casa Das Faias
207,Waw,SS,71.6,overcast clouds,7.7029,27.9953,Universal Gab Hotel
216,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
219,Bertoua,CM,70.34,overcast clouds,4.5833,13.6833,Hotel De Paris
223,Kalemie,CD,72.46,clear sky,-5.9475,29.1947,Mahobilali
224,Antofagasta,CL,60.08,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
234,Shakiso,ET,60.58,overcast clouds,5.75,38.9167,DH international Hotel
236,Samfya,ZM,71.96,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
237,Kashary,RU,62.94,broken clouds,49.04,41.0056,Гостиница N 1
238,Saint-Joseph,RE,63.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
240,Jever,DE,65.98,light rain,53.5833,7.9,Friesen-Hotel
241,Haapsalu,EE,73.98,scattered clouds,58.9431,23.5414,Fra Mare Thalasso Spa
242,Pacasmayo,PE,67.33,overcast clouds,-7.4006,-79.5714,Hotel Libertad
244,Bonavista,CA,61.32,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
245,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
246,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
252,Pisco,PE,66.02,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
253,Butembo,CD,60.12,overcast clouds,0.15,29.2833,Hotel Butembo
262,Kemijarvi,FI,69.76,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
265,Lowestoft,GB,67.33,broken clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
267,Chancay,PE,65.25,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
269,Castro,BR,71.91,clear sky,-24.7911,-50.0119,CHACARA BAILLY
278,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
286,Potosi,BO,63.46,broken clouds,-19.5836,-65.7531,Hostal La Casona Potosí
298,Bell Ville,AR,69.8,overcast clouds,-32.6259,-62.6887,Hotel Central
301,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
307,Ampanihy,MG,65.28,scattered clouds,-24.7,44.75,Angora Hotel
309,Abu Zabad,SD,72.7,overcast clouds,12.35,29.25,حامد محمد نور
315,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
324,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
325,Karaton,ID,73.49,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
332,Loum,CM,71.87,light rain,4.7182,9.7351,hôtel Valeri
336,Umea,SE,66.13,broken clouds,63.8284,20.2597,Hotel Avenue | ProfilHotels
338,Camana,PE,62.38,overcast clouds,-16.6228,-72.7111,Hostal Morales
341,Taltal,CL,61.7,few clouds,-25.4,-70.4833,Residencial Karime
346,Myskhako,RU,60.58,few clouds,44.6714,37.7433,Myskhako Hotel
352,Svetlogorsk,BY,65.8,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
353,Huarmey,PE,67.69,broken clouds,-10.0681,-78.1522,Hotel Miramar
356,Zatoka,UA,74.16,clear sky,46.0725,30.4654,Sonyachna
