City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Ushuaia,-54.8,-68.3,31.66,74,40,19.57,AR,shower snow
1,Maragogi,-9.0122,-35.2225,76.93,81,70,12.03,BR,broken clouds
2,Punta Arenas,-53.15,-70.9167,37.42,75,20,25.32,CL,few clouds
3,Namibe,-15.1961,12.1522,63.73,87,11,4.14,AO,few clouds
4,Long Branch,40.3043,-73.9924,99.23,59,75,9.22,US,broken clouds
5,Santa Fe,-31.6333,-60.7,66.0,74,92,11.01,AR,moderate rain
6,Mitu,1.1983,-70.1733,77.92,86,100,3.38,CO,overcast clouds
7,Abu Dhabi,24.4667,54.3667,98.71,69,0,6.91,AE,clear sky
8,Busselton,-33.65,115.3333,57.99,78,68,11.63,AU,broken clouds
9,Upernavik,72.7868,-56.1549,47.46,85,100,8.72,GL,light rain
10,Road Town,18.4167,-64.6167,82.49,94,20,8.05,VG,few clouds
11,Port Alfred,-33.5906,26.891,58.51,71,0,2.3,ZA,clear sky
12,Grindavik,63.8424,-22.4338,55.35,94,100,10.36,IS,overcast clouds
13,Altay,47.8667,88.1167,61.63,59,100,4.97,CN,overcast clouds
14,Takoradi,4.8845,-1.7554,75.33,70,14,11.23,GH,few clouds
15,Jamestown,42.097,-79.2353,82.06,59,75,21.85,US,broken clouds
16,Saint George,37.1041,-113.5841,105.8,16,14,4.0,US,few clouds
17,Cape Town,-33.9258,18.4232,55.11,84,0,4.61,ZA,clear sky
18,Santander,43.4647,-3.8044,77.31,86,75,7.0,ES,broken clouds
19,Nurota,40.5614,65.6886,90.97,12,0,12.84,UZ,clear sky
20,Nowogard,53.6744,15.1163,78.62,53,75,8.05,PL,thunderstorm with light rain
21,Arraial Do Cabo,-22.9661,-42.0278,76.96,73,20,12.66,BR,few clouds
22,Gayny,60.3071,54.3241,60.76,81,38,4.23,RU,scattered clouds
23,Thinadhoo,0.5333,72.9333,82.38,69,96,13.15,MV,overcast clouds
24,Usinsk,65.9939,57.5281,53.67,54,75,13.27,RU,broken clouds
25,Caravelas,-17.7125,-39.2481,76.78,65,2,7.9,BR,clear sky
26,Bambous Virieux,-20.3428,57.7575,70.05,78,75,13.8,MU,light rain
27,Prieska,-29.6641,22.7474,60.24,34,0,4.45,ZA,clear sky
28,Tel Aviv-Yafo,32.0805,34.7805,83.1,78,20,6.91,IL,few clouds
29,Mar Del Plata,-38.0023,-57.5575,54.95,53,0,14.0,AR,clear sky
30,Monterrey,25.6667,-100.3167,99.75,39,4,5.35,MX,clear sky
31,Longyearbyen,78.2186,15.6401,51.64,82,75,9.22,SJ,broken clouds
32,Geraldton,-28.7667,114.6,60.93,64,46,11.68,AU,scattered clouds
33,Lebu,-37.6167,-73.65,53.31,79,94,7.2,CL,overcast clouds
34,Port Elizabeth,-33.918,25.5701,51.1,72,0,1.92,ZA,clear sky
35,Abapo,-18.8333,-63.4667,93.6,19,51,4.56,BO,broken clouds
36,Vertientes,21.2594,-78.1464,92.01,46,15,4.43,CU,few clouds
37,Buraydah,26.326,43.975,102.65,10,26,9.33,SA,scattered clouds
38,Oistins,13.0667,-59.5333,87.89,66,20,20.71,BB,few clouds
39,Asmara,15.3333,38.9333,61.95,75,81,9.62,ER,broken clouds
40,Villarrica,-25.75,-56.4333,83.64,42,87,6.53,PY,overcast clouds
41,Novaya Ladoga,60.1025,32.3019,64.89,81,1,4.63,RU,clear sky
42,Iskateley,67.6803,53.1512,47.44,73,4,11.41,RU,clear sky
43,Yining,29.0361,114.5636,78.55,92,76,2.77,CN,broken clouds
44,Calvinia,-31.4707,19.776,52.34,26,0,5.12,ZA,clear sky
45,Zhovtneve,50.6637,24.2492,70.39,64,2,6.69,UA,clear sky
46,Inhambane,-23.865,35.3833,64.38,94,20,3.44,MZ,few clouds
47,Brae,60.3964,-1.353,53.1,78,52,11.68,GB,broken clouds
48,Victoria,22.2855,114.1577,86.32,78,0,4.61,HK,clear sky
49,Tromso,69.6496,18.957,55.42,82,40,3.44,NO,scattered clouds
50,Touros,-5.1989,-35.4608,81.43,67,88,13.24,BR,overcast clouds
51,Porangatu,-13.4408,-49.1486,92.41,20,6,5.08,BR,clear sky
52,Akureyri,65.6835,-18.0878,51.73,82,40,12.66,IS,scattered clouds
53,Meulaboh,4.1363,96.1285,77.81,83,100,4.92,ID,overcast clouds
54,Jalu,29.0331,21.5482,87.37,20,0,9.1,LY,clear sky
55,Vardo,70.3705,31.1107,57.18,88,0,6.91,NO,clear sky
56,Roald,62.5833,6.1333,60.17,94,75,11.5,NO,light intensity drizzle
57,Kilindoni,-7.9139,39.6668,75.92,71,26,15.23,TZ,scattered clouds
58,Yaval,21.1667,75.7,78.75,85,100,9.04,IN,light rain
59,Bud,39.447,-86.1758,89.4,50,0,9.78,US,clear sky
60,Aasiaat,68.7098,-52.8699,41.32,98,100,6.17,GL,overcast clouds
61,Sibut,5.718,19.0739,73.42,94,90,1.59,CF,overcast clouds
62,Saldanha,-33.0117,17.9442,50.05,74,58,8.61,ZA,broken clouds
63,Hobyo,5.3505,48.5268,76.17,83,77,24.52,SO,broken clouds
64,Yurginskoye,56.8189,67.3921,57.09,97,100,6.04,RU,overcast clouds
65,Chapais,49.7834,-74.8492,71.38,84,47,15.43,CA,scattered clouds
66,Hermanus,-34.4187,19.2345,54.23,74,65,0.65,ZA,broken clouds
67,Najran,17.4924,44.1277,90.25,28,87,9.51,SA,overcast clouds
68,Zaysan,47.4667,84.8667,65.53,42,58,1.28,KZ,broken clouds
69,Otavalo,0.2333,-78.2667,70.02,59,86,5.44,EC,light rain
70,Beloha,-25.1667,45.05,64.69,83,10,5.26,MG,clear sky
71,Volksrust,-27.3654,29.8818,48.06,46,67,0.56,ZA,broken clouds
72,Dikson,73.5069,80.5464,42.78,94,100,23.71,RU,light rain
73,Muros,42.7762,-9.0603,80.17,74,8,15.86,ES,clear sky
74,Coquimbo,-29.9533,-71.3436,56.93,76,100,8.05,CL,overcast clouds
75,Les Cayes,18.2,-73.75,89.35,58,74,13.0,HT,broken clouds
76,Bredasdorp,-34.5322,20.0403,48.87,87,47,0.98,ZA,scattered clouds
77,Bubaque,11.2833,-15.8333,79.54,83,94,15.12,GW,overcast clouds
78,Cayenne,4.9333,-52.3333,87.84,5,20,11.5,GF,few clouds
79,Lake City,30.1897,-82.6393,92.59,62,75,12.66,US,broken clouds
80,Chik,54.9928,82.4311,64.15,88,0,8.95,RU,light rain
81,Ilulissat,69.2167,-51.1,48.22,71,75,8.05,GL,broken clouds
82,Tasiilaq,65.6145,-37.6368,42.96,77,98,2.91,GL,overcast clouds
83,Baghdad,33.3406,44.4009,102.11,18,0,8.05,IQ,clear sky
84,Chivay,-15.6383,-71.6011,60.42,16,30,4.38,PE,scattered clouds
85,Ostrovnoy,68.0531,39.5131,52.77,86,77,5.28,RU,broken clouds
86,Qaanaaq,77.484,-69.3632,45.5,70,96,4.83,GL,overcast clouds
87,Ponta Do Sol,32.6667,-17.1,77.72,76,2,5.1,PT,clear sky
88,Akhmeta,42.0311,45.2075,70.32,92,29,8.25,GE,scattered clouds
89,Cidreira,-30.1811,-50.2056,70.36,77,100,4.41,BR,overcast clouds
90,Port-Gentil,-0.7193,8.7815,75.16,88,40,9.22,GA,scattered clouds
91,Saint-Philippe,-21.3585,55.7679,64.22,76,55,14.72,RE,light rain
92,Berlevag,70.8578,29.0864,60.8,93,100,7.2,NO,light rain
93,Mahebourg,-20.4081,57.7,70.09,78,75,13.8,MU,broken clouds
94,Havoysund,70.9963,24.6622,57.43,99,100,7.78,NO,light rain
