City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,53.35,93,100,13.11,AU,2022-07-17 17:29:02
1,Zambezi,-13.5432,23.1047,63.5,31,4,4.88,ZM,2022-07-17 17:29:02
2,Henties Bay,-22.116,14.2845,67.78,49,3,8.9,NA,2022-07-17 17:29:03
3,Adamovka,51.5223,59.9396,73.06,58,72,5.21,RU,2022-07-17 17:29:04
4,Rawson,-43.3002,-65.1023,49.86,46,83,20.96,AR,2022-07-17 17:29:05
5,Dikson,73.5069,80.5464,45.48,79,64,8.57,RU,2022-07-17 17:29:06
6,Narsaq,60.9167,-46.05,59.22,65,7,9.04,GL,2022-07-17 17:29:06
7,Bejar,40.3864,-5.7634,97.57,10,2,7.56,ES,2022-07-17 17:29:07
8,Upernavik,72.7868,-56.1549,41.14,86,61,14.32,GL,2022-07-17 17:29:08
9,Gaoua,10.2992,-3.2508,81.01,67,79,3.47,BF,2022-07-17 17:29:09
10,Mizdah,31.4451,12.9801,91.24,16,0,19.1,LY,2022-07-17 17:29:09
11,Kalmunai,7.4167,81.8167,81.9,82,100,1.43,LK,2022-07-17 17:29:10
12,Ushuaia,-54.8,-68.3,42.46,52,40,5.75,AR,2022-07-17 17:29:11
13,Hermanus,-34.4187,19.2345,60.8,79,0,12.55,ZA,2022-07-17 17:29:11
14,Ornskoldsvik,63.2909,18.7153,59.95,63,100,10.36,SE,2022-07-17 17:29:12
15,Miracatu,-24.2814,-47.4597,75.81,58,100,5.55,BR,2022-07-17 17:29:13
16,Cape Town,-33.9258,18.4232,61.12,87,75,14.97,ZA,2022-07-17 17:29:14
17,Kruisfontein,-34.0033,24.7314,75.88,27,1,8.03,ZA,2022-07-17 17:29:15
18,Torbay,47.6666,-52.7314,77.76,58,100,10.36,CA,2022-07-17 17:29:16
19,Raudeberg,61.9875,5.1352,57.87,88,79,21.77,NO,2022-07-17 17:29:17
20,Port Alfred,-33.5906,26.891,72.45,38,3,10.89,ZA,2022-07-17 17:29:18
21,Mitu,1.1983,-70.1733,81.52,84,76,3.0,CO,2022-07-17 17:29:19
22,Arequipa,-16.3989,-71.535,71.67,11,0,9.22,PE,2022-07-17 17:29:20
23,Victoria,22.2855,114.1577,86.38,81,100,10.0,HK,2022-07-17 17:24:45
